"Brewery_ID","BeerName","Beer_ID","ABV","IBU","Style","Ounces"
1,"Get Together",2692,0.045,50,"American IPA",16
1,"Maggie's Leap",2691,0.049,26,"Milk / Sweet Stout",16
1,"Wall's End",2690,0.048,19,"English Brown Ale",16
1,"Pumpion",2689,0.06,38,"Pumpkin Ale",16
1,"Stronghold",2688,0.06,25,"American Porter",16
1,"Parapet ESB",2687,0.056,47,"Extra Special / Strong Bitter (ESB)",16
2,"Citra Ass Down",2686,0.08,68,"American Double / Imperial IPA",16
2,"London Balling",2685,0.125,80,"English Barleywine",16
2,"35 K",2684,0.077,25,"Milk / Sweet Stout",16
2,"A Beer",2683,0.042,42,"American Pale Ale (APA)",16
2,"Rules are Rules",2682,0.05,25,"German Pilsener",16
2,"Flesh Gourd'n",2681,0.066,21,"Pumpkin Ale",16
2,"Sho'nuff",2680,0.04,13,"Belgian Pale Ale",16
2,"Bloody Show",2679,0.055,17,"American Pilsner",16
2,"Rico Sauvin",2678,0.076,68,"American Double / Imperial IPA",16
2,"Coq de la Marche",2677,0.051,38,"Saison / Farmhouse Ale",16
2,"Pile of Face",2675,0.06,65,"American IPA",16
2,"The Brown Note",2674,0.05,20,"English Brown Ale",16
3,"House Lager",2673,0.052,18,"Keller Bier / Zwickel Bier",16
3,"Leisure Time",2672,0.048,15,"American Pale Lager",12
3,"Excess IPL",2671,0.072,80,"American India Pale Lager",16
3,"Hoponius Union",2670,0.067,65,"American India Pale Lager",12
3,"Calyptra",2669,0.049,45,"American India Pale Lager",12
4,"Habitus (2014)",2668,0.08,100,"American Double / Imperial IPA",16
4,"Solis",2667,0.075,85,"American IPA",16
4,"Jucundus",2666,0.06,24,"Wheat Ale",16
4,"Habitus",2664,0.08,100,"American Double / Imperial IPA",16
4,"Grazias",2663,0.063,30,"Cream Ale",16
4,"Claritas",2662,0.058,28,"Kölsch",16
5,"Park",2661,0.047,19,"American Pale Wheat Ale",12
5,"Westfalia",2660,0.056,16,"American Amber / Red Ale",12
5,"KSA",2659,0.046,17,"Kölsch",12
5,"Villager",2658,0.063,42,"American IPA",12
7,"Yeti  Imperial Stout",2644,0.095,75,"Russian Imperial Stout",12
8,"Peck's Porter",2640,0.065,35,"American Porter",16
9,"Dark Star",2639,0.08,54,"American Stout",16
12,"Sparkle",2635,0.041,12,"American Pale Lager",16
12,"North 45 Amber Ale",1404,0.059,25,"American Amber / Red Ale",16
12,"Horny Monk",1403,0.069,20,"Dubbel",16
12,"Mind's Eye PA",1402,0.067,74,"American IPA",16
13,"Nordskye",2634,0.048,47,"American IPA",12
13,"North Third Stout",2153,0.06,30,"Foreign / Export Stout",12
13,"51K IPA",1481,0.07,51,"American IPA",12
14,"Hotbox Brown",2633,0.055,10,"American Brown Ale",12
14,"Gold",2632,0.048,15,"American Blonde Ale",12
14,"98 Problems (Cuz A Hop Ain't One)",2630,0.065,65,"American IPA",12
14,"Veteran’s Pale Ale (VPA)",2629,0.05,40,"American Pale Ale (APA)",12
14,"Grapefruit IPA",2628,0.05,35,"American IPA",12
15,"Train Hopper",2627,0.058,72,"American IPA",12
16,"Dirty Bastard",2625,0.085,50,"Scotch Ale / Wee Heavy",12
16,"Centennial IPA",1565,0.072,65,"American IPA",12
16,"All Day IPA",1223,0.047,42,"American IPA",12
17,"Hinchtown Hammer Down",2284,0.05,27,"American Blonde Ale",16
17,"Half Cycle IPA",1610,0.06,104,"American IPA",16
18,"Cafe Leche",2623,0.058,20,"American Porter",16
18,"Damascene Apricot Sour",2622,0.052,12,"Fruit / Vegetable Beer",16
18,"Csar",2621,0.12,90,"Russian Imperial Stout",16
18,"Overlord Imperial IPA",1449,0.085,115,"American Double / Imperial IPA",16
18,"Alloy",951,0.058,36,"American IPA",16
18,"Rivet Irish Red Ale",950,0.051,22,"Irish Red Ale",16
18,"3 Gear Robust Porter",949,0.052,50,"American Porter",16
18,"Circuit Bohemian Pilsner",948,0.045,35,"Czech Pilsener",16
19,"Saucy Intruder",2620,0.072,75,"Rye Beer",16
21,"Thai.p.a",2618,0.07,46,"American IPA",16
22,"Citra Faced",2617,0.055,64,"American Pale Wheat Ale",16
22,"Pole Barn Stout",2616,0.055,31,"Oatmeal Stout",16
22,"Pale",2615,0.054,37,"American Pale Ale (APA)",16
22,"Yoshi's Nectar",2614,0.053,27,"California Common / Steam Beer",16
23,"The Gadget",2610,0.064,90,"American IPA",16
24,"Tribute",2609,0.058,58,"American Pale Ale (APA)",12
25,"Pale Alement",2478,0.055,40,"American Pale Ale (APA)",12
25,"Hopkick Dropkick",2471,0.099,115,"American Double / Imperial IPA",12
25,"Joey Wheat",2160,0.068,16,"American Pale Wheat Ale",16
25,"3:33 Black IPA",2158,0.072,86,"American IPA",16
25,"Pale Alement",2054,0.055,40,"American Pale Ale (APA)",16
26,"Tip Off",2605,0.052,29,"Altbier",16
26,"Cowbell",2164,0.054,23,"American Porter",16
26,"Hop Up Offa That Brett (2014)",2085,0.058,20,"Belgian Pale Ale",16
26,"PV Muckle (2013)",2084,0.083,23,"Scotch Ale / Wee Heavy",16
26,"Bourbon Barrel Batch 666: Sympathy for the Devil",2083,0.099,36,"Belgian Dark Ale",16
26,"Whip Fight",2082,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Port Barrel Wee Mac",2081,0.053,23,"Scotch Ale / Wee Heavy",16
26,"Fistful Of Hops Red",2001,0.064,75,"American IPA",16
26,"Fistful of Hops Orange",2000,0.063,75,"American IPA",16
26,"Fistful Of Hops Blue",1999,0.064,75,"American IPA",16
26,"Fistful of Hops Green",1996,0.064,75,"American IPA",16
26,"Wee Muckle",1656,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Royal Brat",1599,0.065,55,"Extra Special / Strong Bitter (ESB)",16
26,"Grapefruit Jungle (GFJ)",1420,0.075,77,"American IPA",16
26,"Osiris Pale Ale",1389,0.056,50,"American Pale Ale (APA)",16
26,"Bourbon Barrel Aged Timmie",1367,0.099,75,"Russian Imperial Stout",16
26,"Stupid Sexy Flanders",1366,0.063,23,"Flanders Oud Bruin",16
26,"Ring of Dingle",1128,0.071,27,"Irish Dry Stout",16
26,"Bourbon Barrel Wee Mac",1127,0.054,23,"Scottish Ale",16
26,"Bourbon Barrel Johan",1049,0.099,60,"English Barleywine",16
26,"The Velvet Fog",923,0.09,24,"Quadrupel (Quad)",16
26,"Sun King Oktoberfest",874,0.055,23,"Märzen / Oktoberfest",16
26,"Indianapolis Indians Lager",739,0.052,24,"Dortmunder / Export Lager",16
26,"Indians Victory Lager (2012)",698,0.052,24,"Dortmunder / Export Lager",16
26,"Isis",651,0.091,91,"American Double / Imperial IPA",16
26,"Wee Muckle (2011)",584,0.09,30,"Scotch Ale / Wee Heavy",16
26,"Grapefruit Jungle (GFJ) (2011)",532,0.075,77,"American IPA",16
26,"Sun King Oktoberfest (2011)",526,0.055,23,"Märzen / Oktoberfest",16
26,"Johan the Barleywine",394,0.099,60,"English Barleywine",16
26,"Wee Mac Scottish-Style Ale",213,0.054,23,"Scottish Ale",16
26,"Sunlight Cream Ale",55,0.053,20,"Cream Ale",16
26,"Osiris Pale Ale (2010)",54,0.056,50,"American Pale Ale (APA)",16
27,"Blonde Czich",2604,0.049,23,"American Blonde Ale",16
27,"White Reaper",2432,0.07,61,"Belgian IPA",16
27,"General George Patton Pilsner",1967,0.054,48,"Czech Pilsener",16
28,"Citrafest",2602,0.05,45,"American IPA",16
28,"Scarecrow",2219,0.069,65,"American IPA",16
28,"Ironman",2218,0.09,50,"English Strong Ale",16
28,"Honey Kolsch",2217,0.046,15,"Kölsch",16
28,"Copperhead Amber",2216,0.052,18,"Belgian Dark Ale",16
29,"Deduction",2601,0.08,22,"Dubbel",12
30,"Gone A-Rye",2600,0.085,90,"American Double / Imperial IPA",16
30,"Dankosaurus",2052,0.068,70,"American IPA",16
30,"Scruffy's Smoked Alt",1584,0.051,35,"Smoked Beer",16
30,"Elliott's Phoned Home Pale Ale",1182,0.051,36,"American Pale Ale (APA)",16
30,"The Lawn Ranger",1050,0.05,18,"Cream Ale",16
31,"Sex Panther",2599,0.069,20,"American Porter",12
31,"Winter Warmer (Vault Series)",2073,0.095,25,"Winter Warmer",16
31,"Count Hopula (Vault Series)",2063,0.091,99,"American Double / Imperial IPA",16
31,"SunSpot Golden Ale",1934,0.05,15,"American Blonde Ale",12
31,"Epicenter Amber Ale",1073,0.055,20,"American Amber / Red Ale",12
31,"SanTan HefeWeizen",1072,0.05,15,"Hefeweizen",12
31,"Hop Shock IPA",1071,0.07,85,"American IPA",12
31,"Sex Panther (2014)",852,0.069,20,"American Porter",12
31,"Devil’s Ale",850,0.055,45,"American Pale Ale (APA)",12
31,"Mr. Pineapple",777,0.05,20,"Fruit / Vegetable Beer",12
31,"American Idiot Ale (2012)",764,0.055,45,"American Pale Ale (APA)",12
31,"Hop Shock IPA (2010)",317,0.07,85,"American IPA",12
31,"SanTan HefeWeizen (2010)",286,0.05,15,"Hefeweizen",12
31,"Devil’s Ale (2010)",285,0.055,45,"American Pale Ale (APA)",12
31,"Epicenter Amber Ale (2010)",124,0.055,20,"American Amber / Red Ale",12
32,"Heavy Lifting",2596,0.062,80,"American IPA",12
34,"Surfrider",2594,0.052,35,"American Pale Ale (APA)",16
34,"Grandma's Pecan",1562,0.069,34,"English Brown Ale",16
34,"Double Trunk",1561,0.099,101,"American Double / Imperial IPA",16
35,"Even Keel",2105,0.038,40,"American IPA",12
35,"Ballast Point Pale Ale",1401,0.052,23,"Kölsch",12
35,"Big Eye India Pale Ale",1400,0.07,75,"American IPA",12
35,"Sculpin IPA",1018,0.07,70,"American IPA",12
37,"Czech Yo Self",2590,0.055,45,"Czech Pilsener",12
37,"FMB 101",1968,0.048,20,"Kölsch",12
38,"Avery Joe’s Premium American Pilsner",146,0.047,42,"German Pilsener",12
38,"White Rascal",108,0.056,10,"Witbier",12
38,"Avery India Pale Ale",107,0.063,69,"American IPA",12
38,"Ellie’s Brown Ale",106,0.055,17,"American Brown Ale",12
39,"Cow Creek",2588,0.054,26,"American Amber / Red Lager",12
39,"Chupahopra",2458,0.075,63,"American IPA",12
39,"Twisted X",2212,0.051,19,"American Adjunct Lager",12
40,"Vanilla Porter",2587,0.07,11,"American Porter",16
41,"Galaxy IPA",2585,0.075,60,"American IPA",16
42,"Gose",2584,0.046,8,"Gose",16
42,"Vermont Pilsner",2583,0.048,20,"German Pilsener",16
44,"Jah Mon",2579,0.05,100,"American IPA",12
45,"Fist City",2576,0.055,40,"American Pale Ale (APA)",12
45,"Rosa Hibiscus Ale",609,0.058,15,"Herbed / Spiced Beer",12
45,"Fistmas Ale",418,0.061,31,"Herbed / Spiced Beer",12
45,"Oktoberfest Revolution",417,0.057,25,"Märzen / Oktoberfest",12
45,"Eugene Porter",416,0.068,28,"American Porter",12
45,"Anti-Hero IPA",415,0.065,70,"American IPA",12
45,"Bottom Up Belgian Wit",414,0.05,14,"Witbier",12
46,"Wooden Rooster",2575,0.085,34,"Tripel",16.9
46,"Ginger Peach Saison",2555,0.048,20,"Saison / Farmhouse Ale",16
46,"Zombie Monkie",1736,0.062,35,"American Porter",16
46,"Wild Plum Farmhouse Ale",1196,0.056,20,"Saison / Farmhouse Ale",16
46,"Vanilla Bean Buffalo Sweat",1063,0.05,20,"Oatmeal Stout",16
46,"Ethos IPA",1017,0.068,110,"American IPA",16
46,"Tallgrass Pub Ale",1009,0.044,12,"American Brown Ale",16
46,"Oasis",912,0.072,93,"Extra Special / Strong Bitter (ESB)",16
46,"Buffalo Sweat",765,0.05,20,"Milk / Sweet Stout",16
46,"Halcyon Unfiltered Wheat",676,0.05,20,"American Pale Wheat Ale",16
46,"Halcyon Unfiltered Wheat",412,0.05,20,"American Pale Wheat Ale",12
46,"Köld Lager (2010)",105,0.05,16,"German Pilsener",16
46,"Oasis (2010)",104,0.072,93,"American Double / Imperial IPA",16
46,"Tallgrass Ale",103,0.044,22,"American Brown Ale",16
46,"Buffalo Sweat (2010)",102,0.05,20,"Milk / Sweet Stout",16
46,"Tallgrass IPA",101,0.063,60,"American IPA",16
47,"4Beans",2574,0.1,52,"Baltic Porter",12
47,"Jammer",2479,0.042,16,"Gose",12
47,"Rad",2266,0.032,7,"Fruit / Vegetable Beer",16
47,"Bengali",2090,0.065,62,"American IPA",24
47,"Sensi Harvest",1962,0.047,50,"American Pale Ale (APA)",12
47,"Hi-Res",1696,0.099,111,"American Double / Imperial IPA",12
47,"Global Warmer",1608,0.07,70,"American Strong Ale",12
47,"Autumnation (2013)",1591,0.067,74,"American IPA",16
47,"The Crisp",1388,0.054,42,"German Pilsener",16
47,"Sweet Action",1387,0.052,34,"Cream Ale",16
47,"Righteous Ale",1386,0.063,57,"Rye Beer",16
47,"Bengali Tiger",1385,0.064,62,"American IPA",16
47,"3Beans",1020,0.099,85,"Baltic Porter",12
47,"Brownstone",778,0.059,47,"American Brown Ale",16
47,"Apollo",630,0.052,11,"American Pale Wheat Ale",16
47,"Harbinger",629,0.049,35,"Saison / Farmhouse Ale",16
47,"Resin",628,0.091,103,"American Double / Imperial IPA",12
47,"Diesel",525,0.063,69,"American Stout",16
47,"Autumnation (2011-12) (2011)",512,0.06,48,"Pumpkin Ale",16
47,"The Crisp (2011)",425,0.054,42,"German Pilsener",16
47,"Sweet Action (2011)",424,0.052,34,"Cream Ale",16
47,"Righteous Ale (2011)",423,0.063,57,"Rye Beer",16
47,"Bengali Tiger (2011)",422,0.064,62,"American IPA",16
49,"Easy Jack",2569,0.045,47,"American IPA",12
49,"Union Jack",2463,0.075,75,"American IPA",12
49,"805",1733,0.047,20,"American Blonde Ale",12
50,"Take Two Pils",2568,0.055,35,"German Pilsener",12
51,"Flying Mouse 4",2566,0.07,70,"American IPA",12
52,"Lee Hill Series Vol. 2 - Wild Saison",2563,0.068,24,"American Wild Ale",19.2
52,"Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout",2562,0.099,51,"American Double / Imperial Stout",19.2
52,"Thai Style White IPA",1932,0.065,33,"American White IPA",12
52,"Ferus Fluxus Wild Belgian Pale Ale",1853,0.075,30,"American Wild Ale",19.2
52,"Upslope Imperial India Pale Ale",1315,0.099,90,"American Double / Imperial IPA",19.2
52,"Upslope Belgian Style Pale Ale",683,0.075,30,"Belgian Pale Ale",12
52,"Top Rope Mexican-style Craft Lager",466,0.048,15,"Vienna Lager",12
52,"Upslope Craft Lager",444,0.048,22,"Vienna Lager",12
54,"Moar",2558,0.044,44,"English India Pale Ale (IPA)",12
54,"Nordic Blonde",2556,0.057,27,"American Blonde Ale",12
56,"Mazzie",2553,0.054,45,"American Pale Ale (APA)",12
58,"Weissenheimer",2550,0.052,16,"Hefeweizen",12
58,"Abbey's Single (2015- )",2505,0.049,22,"Abbey Single Ale",12
58,"Vertex IPA",2025,0.063,76,"American IPA",12
58,"Here Gose Nothin'",2021,0.05,12,"Gose",12
58,"Hoperation Overload",1888,0.096,85,"American Double / Imperial IPA",12
58,"Abbey's Single Ale (Current)",1887,0.049,22,"Abbey Single Ale",12
59,"Make It So",2549,0.053,40,"Extra Special / Strong Bitter (ESB)",12
59,"Hopvale Organic Ale",2473,0.047,55,"American Pale Ale (APA)",16
59,"Unchained #18 Hop Silo",2415,0.083,100,"American Double / Imperial IPA",16
61,"Passion Fruit Prussia",2545,0.035,11,"Berliner Weissbier",12
61,"Send Help",2544,0.045,18,"American Blonde Ale",12
61,"Contact High",1870,0.05,28,"American Pale Wheat Ale",12
62,"BLAKKR",1739,0.099,85,"American Black Ale",16
62,"Overrated! West Coast Style IPA",1112,0.073,69,"American IPA",16
62,"WET",329,0.075,90,"American IPA",16
62,"Bitter Brewer",19,0.04,37,"English Bitter",16
62,"SurlyFest",18,0.055,34,"Rye Beer",16
62,"Coffee Bender",17,0.051,45,"American Brown Ale",16
62,"Bender",16,0.051,45,"American Brown Ale",16
62,"Abrasive Ale",15,0.097,120,"American Double / Imperial IPA",16
62,"Hell",14,0.051,20,"Keller Bier / Zwickel Bier",16
62,"CynicAle",13,0.067,33,"Saison / Farmhouse Ale",16
62,"Furious",12,0.062,99,"American IPA",16
63,"Citra Ass Down",2540,0.082,68,"American IPA",16
63,"The Brown Note",2539,0.05,20,"American Brown Ale",16
64,"Neomexicanus Native",2538,0.06,46,"American Pale Ale (APA)",12
64,"Old Soul",2355,0.075,25,"Belgian Strong Pale Ale",12
64,"Lava Lake Wit",685,0.052,15,"Witbier",12
64,"Crazy Mountain Amber Ale",356,0.052,25,"American Amber / Red Ale",12
66,"Daft Funk",2530,0.043,8,"Berliner Weissbier",24
67,"OktoberFiesta",2527,0.053,27,"N/A",12
67,"Texicali",2526,0.065,33,"American Brown Ale",12
67,"Bat Outta Helles",2524,0.042,20,"Munich Helles Lager",12
67,"Rye Wit",2522,0.042,10,"Witbier",12
67,"Soul Doubt",2521,0.059,70,"American IPA",12
67,"Yo Soy Un Berliner",2520,0.044,5,"Berliner Weissbier",12
68,"Bimini Twist",2519,0.07,82,"American IPA",12
69,"Farmer's Daughter Blonde",2516,0.051,17,"American Blonde Ale",16
69,"Pump House IPA",2515,0.055,45,"American IPA",16
69,"Vanilla Porter",2513,0.047,25,"American Porter",16
69,"Honey Rye",2512,0.058,18,"Rye Beer",16
70,"Long Leaf",2511,0.071,75,"American IPA",16
70,"Honey Badger Blonde",2510,0.047,19,"American Blonde Ale",16
70,"Porter (a/k/a Black Gold Porter)",2509,0.06,23,"American Porter",16
71,"Jalapeno Pale Ale",2508,0.055,45,"American Pale Ale (APA)",16
72,"Double Duckpin",2507,0.085,90,"American Double / Imperial IPA",12
72,"Old Pro",2506,0.042,10,"Gose",12
73,"Hop A-Peel",2503,0.075,115,"American Double / Imperial IPA",16
73,"Vanilla Java Porter",2502,0.055,12,"American Porter",16
73,"Dirty Blonde Ale",534,0.045,8,"American Blonde Ale",12
73,"Grand Circus IPA",528,0.05,62,"American IPA",12
73,"Atwater's Lager",527,0.05,12,"Munich Helles Lager",12
75,"Wobble",2497,0.063,69,"American IPA",16
75,"Night Cat",2246,0.058,43,"American Dark Wheat Ale",12
75,"Night Cat (2014)",1630,0.058,43,"American Dark Wheat Ale",12
75,"Dog Days Lager",1284,0.051,17,"Dortmunder / Export Lager",12
75,"Sidekick Extra Pale Ale",1121,0.051,36,"American Pale Ale (APA)",12
75,"Atom Smasher",1042,0.077,23,"Märzen / Oktoberfest",12
75,"Cane and Ebel",861,0.07,68,"American Strong Ale",12
76,"Harness the Winter",2410,0.072,87,"American IPA",12
76,"14° ESB",1902,0.056,32,"Extra Special / Strong Bitter (ESB)",12
76,"Bent Hop Golden IPA",1901,0.062,68,"American IPA",12
76,"Bent Paddle Black Ale",1261,0.06,34,"American Black Ale",12
76,"Venture Pils",1253,0.05,38,"German Pilsener",12
79,"Baby Daddy Session IPA",2486,0.047,35,"American IPA",12
80,"Saddle Bronc Brown Ale",2485,0.048,16,"American Brown Ale",12
80,"Bomber Mountain Amber Ale",2484,0.046,20,"American Amber / Red Ale",12
81,"Totally Radler",2482,0.027,21,"Radler",16
81,"Nonstop Hef Hop",2400,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2399,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2398,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2397,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2396,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2395,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2394,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2393,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2392,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2391,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2390,0.039,20,"American Pale Wheat Ale",16
81,"Nonstop Hef Hop",2389,0.039,20,"American Pale Wheat Ale",16
81,"Rise Up Red",2388,0.058,60,"American Amber / Red Ale",16
81,"Survival Stout",2200,0.058,35,"American Stout",16
81,"Hopworks IPA",2199,0.066,75,"American IPA",16
81,"Abominable Winter Ale",2193,0.073,70,"American Strong Ale",16
81,"Pigwar White India Pale Ale",1398,0.06,60,"American White IPA",16
81,"Rise-Up Red (2014)",1085,0.058,60,"American Amber / Red Ale",16
81,"Abominable Winter Ale (2012)",916,0.073,70,"American Strong Ale",16
81,"HUB Lager",658,0.051,32,"Czech Pilsener",16
81,"Hopworks IPA (2012)",653,0.066,75,"American IPA",16
83,"Slow Ride",2475,0.045,40,"American IPA",12
83,"Ranger IPA",2230,0.065,70,"American IPA",12
83,"Shift",1987,0.05,29,"American Pale Lager",12
83,"1554 Black Lager",1978,0.056,21,"Euro Dark Lager",12
83,"Fat Tire Amber Ale",1586,0.052,18,"American Amber / Red Ale",12
83,"Shift (1)",952,0.05,29,"American Pale Lager",12
83,"Fat Tire Amber Ale (2011)",748,0.052,18,"American Amber / Red Ale",12
83,"Shift",578,0.05,29,"American Pale Lager",16
83,"Ranger IPA",564,0.065,70,"American IPA",16
83,"Fat Tire Amber Ale",563,0.052,18,"American Amber / Red Ale",16
83,"Ranger IPA (Current)",115,0.065,70,"American IPA",12
83,"Fat Tire Amber Ale (2008)",71,0.052,18,"American Amber / Red Ale",12
84,"Torpedo",2239,0.072,65,"American IPA",12
84,"Sierra Nevada Pale Ale",1905,0.056,37,"American Pale Ale (APA)",16
84,"Old Chico Crystal Wheat",1338,0.048,26,"American Pale Wheat Ale",12
84,"Summerfest",1295,0.05,28,"Czech Pilsener",12
84,"Torpedo",426,0.072,65,"American IPA",16
84,"Sierra Nevada Pale Ale",400,0.056,37,"American Pale Ale (APA)",12
87,"Captain's Daughter",2044,0.085,69,"American Double / Imperial IPA",12
88,"India Pale Ale",2460,0.063,65,"American IPA",16
88,"Blackberry Wheat",2459,0.048,11,"American Pale Wheat Ale",16
89,"312 Urban Pale Ale",2457,0.054,30,"American Pale Ale (APA)",16
89,"312 Urban Pale Ale",2202,0.054,30,"American Pale Ale (APA)",12
89,"312 Urban Wheat Ale",2201,0.042,18,"American Pale Wheat Ale",16
89,"312 Urban Wheat Ale",1829,0.042,18,"American Pale Wheat Ale",12
89,"312 Urban Wheat Ale (2012)",581,0.042,20,"American Pale Wheat Ale",12
92,"Sol Drifter",2209,0.043,18,"American Blonde Ale",12
92,"The Great Pumpcan",1994,0.079,18,"Fruit / Vegetable Beer",16
92,"LIFT",1816,0.047,11,"Kölsch",12
92,"SPRYE",1815,0.05,40,"American Pale Ale (APA)",12
92,"Psychopathy",1126,0.069,70,"American IPA",12
92,"Gnarly Brown",1125,0.07,32,"American Brown Ale",12
92,"Happy Amber",1124,0.06,30,"American Amber / Red Ale",12
94,"Hustle",2452,0.057,42,"American Amber / Red Ale",12
94,"Pure Fury",2451,0.055,42,"American Pale Ale (APA)",12
94,"Dad",2132,0.06,60,"American Amber / Red Ale",12
94,"Panther",1993,0.058,35,"American Porter",12
94,"Franz",1992,0.052,21,"Märzen / Oktoberfest",12
94,"Zen",1935,0.043,45,"American Pale Ale (APA)",12
94,"Truth",1852,0.072,75,"American IPA",12
94,"Cougar",1851,0.048,25,"American Blonde Ale",12
95,"Self Starter",2450,0.052,67,"American IPA",16
95,"Ermal's",2223,0.054,20,"Cream Ale",16
98,"Nugget Nectar",2444,0.075,93,"American Amber / Red Ale",16
98,"Sunshine Pils",2203,0.045,45,"American Pilsner",12
98,"Troegenator Doublebock",1510,0.082,25,"Doppelbock",16
98,"Perpetual IPA",1509,0.075,85,"American IPA",12
99,"Mission IPA",2441,0.068,66,"American IPA",32
99,"El Conquistador Extra Pale Ale",1460,0.048,44,"American Pale Ale (APA)",32
99,"Shipwrecked Double IPA",1459,0.092,75,"American Double / Imperial IPA",32
100,"Bay of Bengal Double IPA (2014)",2440,0.089,126,"American Double / Imperial IPA",12
102,"Rhode Island Blueberry",2438,0.046,11,"Kölsch",12
102,"Newport Storm IPA",2437,0.065,75,"American IPA",12
102,"Hurricane Amber Ale (2004)",751,0.052,24,"American Amber / Red Ale",12
102,"Hurricane Amber Ale",120,0.052,24,"American Amber / Red Ale",12
103,"King Street IPA",1667,0.06,70,"American IPA",12
103,"King Street Hefeweizen",1666,0.057,10,"Hefeweizen",12
104,"Watermelon Ale",2435,0.05,10,"Fruit / Vegetable Beer",12
104,"Fenway American Pale Ale",2423,0.058,45,"American Pale Ale (APA)",12
104,"Back Bay IPA",2420,0.068,85,"American IPA",12
104,"Bunker Hill Blueberry Ale",2419,0.048,16,"Other",12
